comparison_label,pre_brexit_sp_magnitude,post_brexit_sp_magnitude,sp_magnitude_difference,pre_brexit_sp_significance,post_brexit_sp_significance,sp_gained_significance,sp_lost_significance,sp_both_significant,sp_neither_significant
Nigeria_vs_Myanmar (country) [3rd safe country - Country ...],0.0104166666666666,-0.2083333333333333,-0.2187499999999999,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [3rd safe country - Country ...],-0.0625,0.1145833333333333,0.17708333333333331,False,False,False,False,False,True
Syria_vs_China (country) [3rd safe country - Country ...],-0.0729166666666667,0.0833333333333333,0.15625,False,False,False,False,False,True
Syria_vs_Ukraine (country) [3rd safe country - Country ...],0.0104166666666666,0.0520833333333333,0.0416666666666667,False,False,False,False,False,True
China_vs_Myanmar (country) [3rd safe country - Country ...],0.03125,-0.125,-0.15625,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [3rd safe country - Country ...],0.0520833333333333,0.09375,0.0416666666666667,False,False,False,False,False,True
China_vs_Ukraine (country) [3rd safe country - Country ...],0.0833333333333333,-0.03125,-0.1145833333333333,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [3rd safe country - Country ...],0.0625,-0.0416666666666667,-0.1041666666666667,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [3rd safe country - Country ...],0.0520833333333333,0.1666666666666666,0.1145833333333333,False,False,False,False,False,True
Pakistan_vs_China (country) [3rd safe country - Country ...],-0.0833333333333333,-0.0416666666666666,0.0416666666666667,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [3rd safe country - Country ...],0.0,-0.0729166666666666,-0.0729166666666666,False,False,False,False,False,True
Syria_vs_Pakistan (country) [3rd safe country - Country ...],0.0104166666666666,0.125,0.1145833333333334,False,False,False,False,False,True
Syria_vs_Nigeria (country) [3rd safe country - Country ...],-0.0520833333333333,0.1666666666666667,0.21875,False,False,False,False,False,True
China_vs_Nigeria (country) [3rd safe country - Country ...],0.0208333333333333,0.0833333333333333,0.0625,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Firm settlement],0.1296296296296296,0.0,-0.1296296296296296,True,False,False,True,False,False
Nigeria_vs_Myanmar (country) [Firm settlement],0.0555555555555555,0.0,-0.0555555555555555,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Firm settlement],-0.007716049382716,0.0,0.007716049382716,False,False,False,False,False,True
Syria_vs_China (country) [Firm settlement],0.0169753086419753,0.0,-0.0169753086419753,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Firm settlement],0.0817901234567901,0.0,-0.0817901234567901,True,False,False,True,False,False
China_vs_Myanmar (country) [Firm settlement],0.1126543209876542,0.0,-0.1126543209876542,True,False,False,True,False,False
Myanmar_vs_Ukraine (country) [Firm settlement],-0.0478395061728395,0.0,0.0478395061728395,False,False,False,False,False,True
China_vs_Ukraine (country) [Firm settlement],0.0648148148148147,0.0,-0.0648148148148147,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Firm settlement],0.0416666666666667,0.0,-0.0416666666666667,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Firm settlement],-0.0138888888888888,0.0,0.0138888888888888,False,False,False,False,False,True
Pakistan_vs_China (country) [Firm settlement],-0.0987654320987654,0.0,0.0987654320987654,True,False,False,True,False,False
Pakistan_vs_Ukraine (country) [Firm settlement],-0.0339506172839506,0.0,0.0339506172839506,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Firm settlement],0.1157407407407408,0.0,-0.1157407407407408,True,False,False,True,False,False
Syria_vs_Nigeria (country) [Firm settlement],0.074074074074074,0.0,-0.074074074074074,False,False,False,False,False,True
China_vs_Nigeria (country) [Firm settlement],0.0570987654320986,0.0,-0.0570987654320986,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Assimilation Potential],0.0444444444444444,0.0277777777777777,-0.016666666666666698,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Assimilation Potential],0.0,-0.0222222222222221,-0.0222222222222221,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Assimilation Potential],0.0027777777777777,0.0138888888888888,0.0111111111111111,False,False,False,False,False,True
Syria_vs_China (country) [Assimilation Potential],0.0027777777777777,0.0527777777777778,0.0500000000000001,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Assimilation Potential],0.0416666666666666,0.036111111111111,-0.005555555555555605,False,False,False,False,False,True
China_vs_Myanmar (country) [Assimilation Potential],0.0416666666666666,-0.025,-0.0666666666666666,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Assimilation Potential],-0.0027777777777777,0.0083333333333333,0.011111111111111,False,False,False,False,False,True
China_vs_Ukraine (country) [Assimilation Potential],0.0388888888888888,-0.0166666666666667,-0.0555555555555555,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Assimilation Potential],-0.0083333333333333,-0.0333333333333333,-0.024999999999999998,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Assimilation Potential],-0.0083333333333333,-0.0111111111111111,-0.002777777777777799,False,False,False,False,False,True
Pakistan_vs_China (country) [Assimilation Potential],-0.0333333333333333,0.0361111111111112,0.0694444444444445,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Assimilation Potential],0.0055555555555555,0.0194444444444444,0.013888888888888899,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Assimilation Potential],0.036111111111111,0.0166666666666666,-0.019444444444444396,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Assimilation Potential],0.0444444444444444,0.0499999999999999,0.005555555555555501,False,False,False,False,False,True
China_vs_Nigeria (country) [Assimilation Potential],0.0416666666666666,-0.0027777777777778,-0.044444444444444405,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Financial stability],0.0416666666666666,-0.1111111111111111,-0.1527777777777777,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Financial stability],-0.1527777777777778,0.0,0.1527777777777778,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Financial stability],-0.0138888888888889,-0.0138888888888889,0.0,False,False,False,False,False,True
Syria_vs_China (country) [Financial stability],0.0,-0.0833333333333333,-0.0833333333333333,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Financial stability],0.2083333333333333,-0.0972222222222222,-0.30555555555555547,False,False,False,False,False,True
China_vs_Myanmar (country) [Financial stability],0.0416666666666666,-0.0277777777777777,-0.06944444444444431,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Financial stability],0.1666666666666667,0.0138888888888889,-0.15277777777777782,False,False,False,False,False,True
China_vs_Ukraine (country) [Financial stability],0.2083333333333333,-0.0138888888888888,-0.2222222222222221,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Financial stability],-0.1944444444444444,0.0138888888888889,0.2083333333333333,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Financial stability],-0.0416666666666666,0.0138888888888889,0.055555555555555504,False,False,False,False,False,True
Pakistan_vs_China (country) [Financial stability],0.0,0.0138888888888888,0.0138888888888888,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Financial stability],0.2083333333333333,0.0,-0.2083333333333333,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Financial stability],0.0,-0.0972222222222222,-0.0972222222222222,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Financial stability],0.1944444444444444,-0.1111111111111111,-0.30555555555555547,False,False,False,False,False,True
China_vs_Nigeria (country) [Financial stability],0.1944444444444444,-0.0277777777777777,-0.2222222222222221,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Intentions regarding work i...],0.1284722222222222,-0.0902777777777776,-0.2187499999999998,True,False,False,True,False,False
Nigeria_vs_Myanmar (country) [Intentions regarding work i...],-0.1770833333333333,-0.2013888888888888,-0.024305555555555525,True,True,False,False,True,False
Ukraine_vs_Nigeria (country) [Intentions regarding work i...],0.0833333333333333,-0.0694444444444444,-0.1527777777777777,False,False,False,False,False,True
Syria_vs_China (country) [Intentions regarding work i...],0.1145833333333333,0.1493055555555555,0.034722222222222196,True,True,False,False,True,False
Syria_vs_Ukraine (country) [Intentions regarding work i...],0.2222222222222222,0.1805555555555555,-0.04166666666666671,True,True,False,False,True,False
China_vs_Myanmar (country) [Intentions regarding work i...],0.0138888888888888,-0.2395833333333332,-0.253472222222222,False,True,True,False,False,False
Myanmar_vs_Ukraine (country) [Intentions regarding work i...],0.09375,0.2708333333333332,0.1770833333333332,False,True,True,False,False,False
China_vs_Ukraine (country) [Intentions regarding work i...],0.1076388888888888,0.03125,-0.0763888888888888,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Intentions regarding work i...],-0.1840277777777778,0.0555555555555555,0.2395833333333333,True,False,False,True,False,False
Myanmar_vs_Pakistan (country) [Intentions regarding work i...],-0.0069444444444444,0.2569444444444444,0.26388888888888884,False,True,True,False,False,False
Pakistan_vs_China (country) [Intentions regarding work i...],-0.0069444444444444,-0.0173611111111111,-0.010416666666666703,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Intentions regarding work i...],0.1006944444444444,0.0138888888888888,-0.08680555555555561,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Intentions regarding work i...],0.1215277777777777,0.1666666666666667,0.045138888888889006,True,True,False,False,True,False
Syria_vs_Nigeria (country) [Intentions regarding work i...],0.3055555555555556,0.1111111111111111,-0.19444444444444448,True,False,False,True,False,False
China_vs_Nigeria (country) [Intentions regarding work i...],0.1909722222222222,-0.0381944444444444,-0.2291666666666666,True,False,False,True,False,False
Syria_vs_Myanmar (country) [Intentions regarding educat...],0.1076388888888889,-0.017361111111111,-0.12499999999999989,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Intentions regarding educat...],-0.2222222222222222,-0.0416666666666666,0.1805555555555556,True,False,False,True,False,False
Ukraine_vs_Nigeria (country) [Intentions regarding educat...],0.1770833333333333,-0.0034722222222222,-0.1805555555555555,True,False,False,True,False,False
Syria_vs_China (country) [Intentions regarding educat...],0.125,0.03125,-0.09375,True,False,False,True,False,False
Syria_vs_Ukraine (country) [Intentions regarding educat...],0.1527777777777778,0.0277777777777777,-0.12500000000000008,True,False,False,True,False,False
China_vs_Myanmar (country) [Intentions regarding educat...],-0.017361111111111,-0.048611111111111,-0.03125,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Intentions regarding educat...],0.0451388888888888,0.0451388888888888,0.0,False,False,False,False,False,True
China_vs_Ukraine (country) [Intentions regarding educat...],0.0277777777777777,-0.0034722222222222,-0.0312499999999999,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Intentions regarding educat...],-0.2465277777777778,0.0208333333333333,0.2673611111111111,True,False,False,True,False,False
Myanmar_vs_Pakistan (country) [Intentions regarding educat...],-0.0243055555555555,0.0625,0.0868055555555555,False,False,False,False,False,True
Pakistan_vs_China (country) [Intentions regarding educat...],0.0416666666666666,-0.0138888888888889,-0.055555555555555504,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Intentions regarding educat...],0.0694444444444444,-0.0173611111111111,-0.08680555555555551,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Intentions regarding educat...],0.0833333333333333,0.0451388888888889,-0.0381944444444444,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Intentions regarding educat...],0.3298611111111111,0.0243055555555555,-0.3055555555555556,True,False,False,True,False,False
China_vs_Nigeria (country) [Intentions regarding educat...],0.2048611111111111,-0.0069444444444444,-0.2118055555555555,True,False,False,True,False,False
Syria_vs_Myanmar (country) [PSG (particular social group)],0.0,0.0015432098765432,0.0015432098765432,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [PSG (particular social group)],-0.029320987654321,0.0061728395061728,0.0354938271604938,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [PSG (particular social group)],0.0216049382716049,0.0030864197530864,-0.0185185185185185,False,False,False,False,False,True
Syria_vs_China (country) [PSG (particular social group)],0.0108024691358024,0.0046296296296296,-0.006172839506172799,False,False,False,False,False,True
Syria_vs_Ukraine (country) [PSG (particular social group)],0.007716049382716,-0.007716049382716,-0.015432098765432,False,False,False,False,False,True
China_vs_Myanmar (country) [PSG (particular social group)],-0.0108024691358024,-0.0030864197530864,0.007716049382715999,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [PSG (particular social group)],0.007716049382716,-0.0092592592592593,-0.0169753086419753,False,False,False,False,False,True
China_vs_Ukraine (country) [PSG (particular social group)],-0.0030864197530863,-0.0123456790123457,-0.0092592592592594,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [PSG (particular social group)],-0.0185185185185186,0.0092592592592593,0.0277777777777779,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [PSG (particular social group)],0.0108024691358024,0.0030864197530864,-0.007716049382715999,False,False,False,False,False,True
Pakistan_vs_China (country) [PSG (particular social group)],0.0,0.0,0.0,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [PSG (particular social group)],-0.0030864197530863,-0.0123456790123457,-0.0092592592592594,False,False,False,False,False,True
Syria_vs_Pakistan (country) [PSG (particular social group)],0.0108024691358024,0.0046296296296296,-0.006172839506172799,False,False,False,False,False,True
Syria_vs_Nigeria (country) [PSG (particular social group)],0.029320987654321,-0.0046296296296296,-0.0339506172839506,False,False,False,False,False,True
China_vs_Nigeria (country) [PSG (particular social group)],0.0185185185185186,-0.0092592592592593,-0.0277777777777779,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Disclosure: Political perse...],0.1388888888888888,-0.0555555555555555,-0.1944444444444443,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Disclosure: Political perse...],0.1388888888888888,-0.0833333333333332,-0.22222222222222202,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Disclosure: Political perse...],-0.1805555555555555,-0.2222222222222223,-0.041666666666666796,False,False,False,False,False,True
Syria_vs_China (country) [Disclosure: Political perse...],0.2361111111111111,0.0555555555555554,-0.1805555555555557,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Disclosure: Political perse...],0.1805555555555555,0.25,0.0694444444444445,False,False,False,False,False,True
China_vs_Myanmar (country) [Disclosure: Political perse...],-0.0972222222222223,-0.111111111111111,-0.0138888888888887,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Disclosure: Political perse...],0.0416666666666667,0.3055555555555556,0.2638888888888889,False,True,True,False,False,False
China_vs_Ukraine (country) [Disclosure: Political perse...],-0.0555555555555555,0.1944444444444445,0.25,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Disclosure: Political perse...],0.2916666666666667,0.0694444444444445,-0.22222222222222218,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Disclosure: Political perse...],0.1527777777777778,0.1527777777777778,0.0,False,False,False,False,False,True
Pakistan_vs_China (country) [Disclosure: Political perse...],-0.0555555555555555,-0.0416666666666667,0.013888888888888798,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Disclosure: Political perse...],-0.1111111111111111,0.1527777777777778,0.2638888888888889,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Disclosure: Political perse...],0.2916666666666667,0.0972222222222222,-0.19444444444444448,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Disclosure: Political perse...],0.0,0.0277777777777776,0.0277777777777776,False,False,False,False,False,True
China_vs_Nigeria (country) [Disclosure: Political perse...],-0.2361111111111111,-0.0277777777777777,0.2083333333333334,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Disclosure: Religious perse...],0.0277777777777777,0.1111111111111111,0.0833333333333334,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Disclosure: Religious perse...],0.0138888888888889,0.1111111111111111,0.09722222222222221,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Disclosure: Religious perse...],-0.0138888888888889,-0.0833333333333333,-0.0694444444444444,False,False,False,False,False,True
Syria_vs_China (country) [Disclosure: Religious perse...],-0.0138888888888889,0.0,0.0138888888888889,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Disclosure: Religious perse...],0.0277777777777777,0.0833333333333333,0.0555555555555556,False,False,False,False,False,True
China_vs_Myanmar (country) [Disclosure: Religious perse...],0.0416666666666667,0.1111111111111111,0.0694444444444444,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Disclosure: Religious perse...],0.0,-0.0277777777777777,-0.0277777777777777,False,False,False,False,False,True
China_vs_Ukraine (country) [Disclosure: Religious perse...],0.0416666666666667,0.0833333333333333,0.0416666666666666,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Disclosure: Religious perse...],0.0277777777777777,-0.0277777777777777,-0.0555555555555554,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Disclosure: Religious perse...],0.0138888888888888,-0.1388888888888889,-0.1527777777777777,False,False,False,False,False,True
Pakistan_vs_China (country) [Disclosure: Religious perse...],-0.0555555555555555,0.0277777777777777,0.0833333333333332,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Disclosure: Religious perse...],-0.0138888888888888,0.1111111111111111,0.1249999999999999,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Disclosure: Religious perse...],0.0416666666666666,-0.0277777777777777,-0.06944444444444431,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Disclosure: Religious perse...],0.0138888888888888,0.0,-0.0138888888888888,False,False,False,False,False,True
China_vs_Nigeria (country) [Disclosure: Religious perse...],0.0277777777777777,0.0,-0.0277777777777777,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Disclosure: Domestic violen...],0.0416666666666666,-0.0138888888888888,-0.0555555555555554,False,False,False,False,False,True
Nigeria_vs_Myanmar (country) [Disclosure: Domestic violen...],0.0694444444444444,-0.0138888888888888,-0.0833333333333332,False,False,False,False,False,True
Ukraine_vs_Nigeria (country) [Disclosure: Domestic violen...],-0.0833333333333333,-0.0277777777777777,0.0555555555555556,False,False,False,False,False,True
Syria_vs_China (country) [Disclosure: Domestic violen...],-0.1805555555555555,0.0,0.1805555555555555,False,False,False,False,False,True
Syria_vs_Ukraine (country) [Disclosure: Domestic violen...],0.0555555555555555,0.0277777777777777,-0.027777777777777797,False,False,False,False,False,True
China_vs_Myanmar (country) [Disclosure: Domestic violen...],0.2222222222222222,-0.0138888888888888,-0.23611111111111102,False,False,False,False,False,True
Myanmar_vs_Ukraine (country) [Disclosure: Domestic violen...],0.0138888888888889,0.0416666666666666,0.0277777777777777,False,False,False,False,False,True
China_vs_Ukraine (country) [Disclosure: Domestic violen...],0.2361111111111111,0.0277777777777777,-0.2083333333333334,False,False,False,False,False,True
Nigeria_vs_Pakistan (country) [Disclosure: Domestic violen...],0.0277777777777777,0.0138888888888889,-0.0138888888888888,False,False,False,False,False,True
Myanmar_vs_Pakistan (country) [Disclosure: Domestic violen...],-0.0416666666666666,0.0277777777777777,0.06944444444444431,False,False,False,False,False,True
Pakistan_vs_China (country) [Disclosure: Domestic violen...],-0.1805555555555555,-0.0138888888888889,0.1666666666666666,False,False,False,False,False,True
Pakistan_vs_Ukraine (country) [Disclosure: Domestic violen...],0.0555555555555555,0.0138888888888888,-0.0416666666666667,False,False,False,False,False,True
Syria_vs_Pakistan (country) [Disclosure: Domestic violen...],0.0,0.0138888888888889,0.0138888888888889,False,False,False,False,False,True
Syria_vs_Nigeria (country) [Disclosure: Domestic violen...],-0.0277777777777777,0.0,0.0277777777777777,False,False,False,False,False,True
China_vs_Nigeria (country) [Disclosure: Domestic violen...],0.1527777777777778,0.0,-0.1527777777777778,False,False,False,False,False,True
Syria_vs_Myanmar (country) [Disclosure: Ethnic violence...],-0.0833333333333333,-0.0138888888888888,0.0694444444444445,False,False,False,False,False,True
