group_comparison,protected_attribute,topic,pre_brexit_model_statistical_parity,post_brexit_model_statistical_parity,equal_opportunity_models_gap,pre_brexit_group_size,post_brexit_group_size,pre_brexit_reference_size,post_brexit_reference_size,pre_brexit_sp_significance,post_brexit_sp_significance,pre_brexit_sp_p_value,post_brexit_sp_p_value,equal_opportunity_sample_size,group_name,reference_group_name,models_sp_difference,pre_brexit_significant,post_brexit_significant,both_models_significant,significance_change,sp_difference_magnitude
Pakistan_vs_Syria,country,Asylum seeker circumstances,-0.020833333333333315,-0.01041666666666674,,96,96,96,96,False,False,0.7284093955296471,0.8779730165960831,,Pakistan,Syria,0.010416666666666574,False,False,False,False,Small
China_vs_Syria,country,Asylum seeker circumstances,-0.22916666666666666,-0.36458333333333337,,96,96,96,96,True,True,0.0007019796401728229,0.0006304128526863906,,China,Syria,-0.1354166666666667,True,True,True,False,Large
Myanmar_vs_China,country,Asylum seeker circumstances,0.1875,0.5520833333333334,,96,96,96,96,True,True,0.0016294493281876488,8.208475887006017e-06,,Myanmar,China,0.36458333333333337,True,True,True,False,Very Large
China_vs_Nigeria,country,Asylum seeker circumstances,-0.15625,-0.30208333333333337,,96,96,96,96,True,True,0.0031974684272126908,0.002465235502739027,,China,Nigeria,-0.14583333333333337,True,True,True,False,Large
Nigeria_vs_Ukraine,country,Asylum seeker circumstances,0.05208333333333333,-0.19791666666666663,,96,96,96,96,False,True,0.3060554213806519,0.0156922524953087,,Nigeria,Ukraine,-0.24999999999999994,False,True,False,True,Very Large
Myanmar_vs_Syria,country,Asylum seeker circumstances,-0.04166666666666666,0.1875,,96,96,96,96,False,True,0.4867359435369414,0.014318761689264825,,Myanmar,Syria,0.22916666666666666,False,True,False,True,Very Large
Pakistan_vs_Myanmar,country,Asylum seeker circumstances,0.020833333333333343,-0.19791666666666674,,96,96,96,96,False,True,0.7187425355858919,0.011355976650184951,,Pakistan,Myanmar,-0.21875000000000008,False,True,False,True,Very Large
Nigeria_vs_China,country,Asylum seeker circumstances,0.15625,0.30208333333333337,,96,96,96,96,True,True,0.0031974684272126908,0.002465235502739027,,Nigeria,China,0.14583333333333337,True,True,True,False,Large
Nigeria_vs_Syria,country,Asylum seeker circumstances,-0.07291666666666666,-0.0625,,96,96,96,96,False,False,0.22934771358701012,0.38160742309357953,,Nigeria,Syria,0.010416666666666657,False,False,False,False,Small
Ukraine_vs_Pakistan,country,Asylum seeker circumstances,-0.10416666666666667,0.14583333333333337,,96,96,96,96,True,True,0.08048351617714466,0.04950165719263122,,Ukraine,Pakistan,0.25000000000000006,True,True,True,False,Very Large
Syria_vs_Myanmar,country,Nature of persecution,0.019444444444444486,-0.009722222222222188,-0.01770066596565023,720,720,720,720,False,False,0.2639338470759367,0.48381127155203263,720.0,Syria,Myanmar,-0.029166666666666674,False,False,False,False,Small
Nigeria_vs_Myanmar,country,Nature of persecution,-0.05972222222222223,-0.011111111111111072,0.007398036798027197,720,720,720,720,True,False,0.012439455940712829,0.42845291177966516,720.0,Nigeria,Myanmar,0.04861111111111116,True,False,False,True,Small
Ukraine_vs_Nigeria,country,Nature of persecution,0.04027777777777786,-0.054166666666666696,-0.05502701817586375,720,720,720,720,True,True,0.06879815510539133,0.009422815105898819,720.0,Ukraine,Nigeria,-0.09444444444444455,True,True,True,False,Medium
Syria_vs_China,country,Nature of persecution,-0.005555555555555536,0.002777777777777879,-0.0003408316291751978,720,720,720,720,False,False,0.7235011823997708,0.8442619905786175,720.0,Syria,China,0.008333333333333415,False,False,False,False,Small
Syria_vs_Ukraine,country,Nature of persecution,0.03888888888888886,0.05555555555555558,0.029928315412186324,720,720,720,720,True,True,0.05162931142234317,0.008088242193529771,720.0,Syria,Ukraine,0.01666666666666672,True,True,True,False,Small
China_vs_Myanmar,country,Nature of persecution,0.025000000000000022,-0.012500000000000067,-0.017359834336475033,720,720,720,720,False,False,0.1589786980829455,0.3782654868562112,720.0,China,Myanmar,-0.03750000000000009,False,False,False,False,Small
Myanmar_vs_Ukraine,country,Nature of persecution,0.019444444444444375,0.06527777777777777,0.047628981377836555,720,720,720,720,False,True,0.29473681465658963,0.0026937357716556587,720.0,Myanmar,Ukraine,0.04583333333333339,False,True,False,True,Small
China_vs_Ukraine,country,Nature of persecution,0.0444444444444444,0.0527777777777777,0.03026914704136152,720,720,720,720,True,True,0.02978701306605025,0.010965827327272137,720.0,China,Ukraine,0.008333333333333304,True,True,True,False,Small
Nigeria_vs_Pakistan,country,Nature of persecution,-0.03472222222222221,0.029166666666666674,0.040971718636693244,720,720,720,720,False,False,0.10887826568042591,0.09043061474937186,720.0,Nigeria,Pakistan,0.06388888888888888,False,False,False,False,Medium
Myanmar_vs_Pakistan,country,Nature of persecution,0.025000000000000022,0.040277777777777746,0.03357368183866605,720,720,720,720,False,True,0.19301990515632172,0.025956141825979273,720.0,Myanmar,Pakistan,0.015277777777777724,False,True,False,True,Small
Ukraine_vs_China,country,Nature of persecution,-0.0444444444444444,-0.0527777777777777,-0.03026914704136152,720,720,720,720,True,True,0.02978701306605025,0.010965827327272137,720.0,Ukraine,China,-0.008333333333333304,True,True,True,False,Small
Ukraine_vs_Myanmar,country,Nature of persecution,-0.019444444444444375,-0.06527777777777777,-0.047628981377836555,720,720,720,720,False,True,0.29473681465658963,0.0026937357716556587,720.0,Ukraine,Myanmar,-0.04583333333333339,False,True,False,True,Small
Pakistan_vs_China,country,Nature of persecution,-0.050000000000000044,-0.02777777777777768,-0.016213847502191014,720,720,720,720,True,False,0.01860750072422035,0.10479678232349121,720.0,Pakistan,China,0.022222222222222365,True,False,False,True,Small
Myanmar_vs_Nigeria,country,Nature of persecution,0.05972222222222223,0.011111111111111072,-0.007398036798027197,720,720,720,720,True,False,0.012439455940712829,0.42845291177966516,720.0,Myanmar,Nigeria,-0.04861111111111116,True,False,False,True,Small
Pakistan_vs_Ukraine,country,Nature of persecution,-0.005555555555555647,0.025000000000000022,0.014055299539170507,720,720,720,720,False,False,0.7633817763246733,0.1766927106086853,720.0,Pakistan,Ukraine,0.03055555555555567,False,False,False,False,Small
China_vs_Pakistan,country,Nature of persecution,0.050000000000000044,0.02777777777777768,0.016213847502191014,720,720,720,720,True,False,0.01860750072422035,0.10479678232349121,720.0,China,Pakistan,-0.022222222222222365,True,False,False,True,Small
Syria_vs_Pakistan,country,Nature of persecution,0.04444444444444451,0.030555555555555558,0.015873015873015817,720,720,720,720,True,True,0.03233706774219791,0.0778702659495698,720.0,Syria,Pakistan,-0.01388888888888895,True,True,True,False,Small
Syria_vs_Nigeria,country,Nature of persecution,0.07916666666666672,0.001388888888888884,-0.025098702763677427,720,720,720,720,True,False,0.0019804313481635027,0.921331836319061,720.0,Syria,Nigeria,-0.07777777777777783,True,False,False,True,Medium
Pakistan_vs_Nigeria,country,Nature of persecution,0.03472222222222221,-0.029166666666666674,-0.040971718636693244,720,720,720,720,False,False,0.10887826568042591,0.09043061474937186,720.0,Pakistan,Nigeria,-0.06388888888888888,False,False,False,False,Medium
Ukraine_vs_Syria,country,Nature of persecution,-0.03888888888888886,-0.05555555555555558,-0.029928315412186324,720,720,720,720,True,True,0.05162931142234317,0.008088242193529771,720.0,Ukraine,Syria,-0.01666666666666672,True,True,True,False,Small
Pakistan_vs_Syria,country,Nature of persecution,-0.04444444444444451,-0.030555555555555558,-0.015873015873015817,720,720,720,720,True,True,0.03233706774219791,0.0778702659495698,720.0,Pakistan,Syria,0.01388888888888895,True,True,True,False,Small
China_vs_Syria,country,Nature of persecution,0.005555555555555536,-0.002777777777777879,0.0003408316291751978,720,720,720,720,False,False,0.7235011823997708,0.8442619905786175,720.0,China,Syria,-0.008333333333333415,False,False,False,False,Small
Myanmar_vs_China,country,Nature of persecution,-0.025000000000000022,0.012500000000000067,0.017359834336475033,720,720,720,720,False,False,0.1589786980829455,0.3782654868562112,720.0,Myanmar,China,0.03750000000000009,False,False,False,False,Small
China_vs_Nigeria,country,Nature of persecution,0.08472222222222225,-0.001388888888888995,-0.02475787113450223,720,720,720,720,True,False,0.0011452556749187437,0.9219697751956506,720.0,China,Nigeria,-0.08611111111111125,True,False,False,True,Medium
Nigeria_vs_Ukraine,country,Nature of persecution,-0.04027777777777786,0.054166666666666696,0.05502701817586375,720,720,720,720,True,True,0.06879815510539133,0.009422815105898819,720.0,Nigeria,Ukraine,0.09444444444444455,True,True,True,False,Medium
Myanmar_vs_Syria,country,Nature of persecution,-0.019444444444444486,0.009722222222222188,0.01770066596565023,720,720,720,720,False,False,0.2639338470759367,0.48381127155203263,720.0,Myanmar,Syria,0.029166666666666674,False,False,False,False,Small
Pakistan_vs_Myanmar,country,Nature of persecution,-0.025000000000000022,-0.040277777777777746,-0.03357368183866605,720,720,720,720,False,True,0.19301990515632172,0.025956141825979273,720.0,Pakistan,Myanmar,-0.015277777777777724,False,True,False,True,Small
Nigeria_vs_China,country,Nature of persecution,-0.08472222222222225,0.001388888888888995,0.02475787113450223,720,720,720,720,True,False,0.0011452556749187437,0.9219697751956506,720.0,Nigeria,China,0.08611111111111125,True,False,False,True,Medium
Nigeria_vs_Syria,country,Nature of persecution,-0.07916666666666672,-0.001388888888888884,0.025098702763677427,720,720,720,720,True,False,0.0019804313481635027,0.921331836319061,720.0,Nigeria,Syria,0.07777777777777783,True,False,False,True,Medium
Ukraine_vs_Pakistan,country,Nature of persecution,0.005555555555555647,-0.025000000000000022,-0.014055299539170507,720,720,720,720,False,False,0.7633817763246733,0.1766927106086853,720.0,Ukraine,Pakistan,-0.03055555555555567,False,False,False,False,Small
Syria_vs_Myanmar,country,Non-Refoulement - Interception at Sea,0.0,0.02083333333333337,,96,96,96,96,False,False,1.0,0.48001143575013483,,Syria,Myanmar,0.02083333333333337,False,False,False,False,Small
Nigeria_vs_Myanmar,country,Non-Refoulement - Interception at Sea,-0.09375,0.04166666666666674,,96,96,96,96,True,False,0.022862102307859455,0.13227703953998882,,Nigeria,Myanmar,0.13541666666666674,True,False,False,True,Large
Ukraine_vs_Nigeria,country,Non-Refoulement - Interception at Sea,0.01041666666666663,-0.02083333333333337,,96,96,96,96,False,False,0.8095180632032355,0.33244036833598223,,Ukraine,Nigeria,-0.03125,False,False,False,False,Small
Syria_vs_China,country,Non-Refoulement - Interception at Sea,0.05208333333333337,-0.01041666666666663,,96,96,96,96,False,False,0.08853353395718111,0.6534093250518012,,Syria,China,-0.0625,False,False,False,False,Medium
Syria_vs_Ukraine,country,Non-Refoulement - Interception at Sea,0.08333333333333337,0.0,,96,96,96,96,True,False,0.031148609944694483,1.0,,Syria,Ukraine,-0.08333333333333337,True,False,False,True,Medium
China_vs_Myanmar,country,Non-Refoulement - Interception at Sea,-0.05208333333333337,0.03125,,96,96,96,96,False,False,0.08853353395718111,0.27331191343433003,,China,Myanmar,0.08333333333333337,False,False,False,False,Medium
Myanmar_vs_Ukraine,country,Non-Refoulement - Interception at Sea,0.08333333333333337,-0.02083333333333337,,96,96,96,96,True,False,0.031148609944694483,0.48001143575013483,,Myanmar,Ukraine,-0.10416666666666674,True,False,False,True,Large
China_vs_Ukraine,country,Non-Refoulement - Interception at Sea,0.03125,0.01041666666666663,,96,96,96,96,False,False,0.43259028621206563,0.6534093250518012,,China,Ukraine,-0.02083333333333337,False,False,False,False,Small
Nigeria_vs_Pakistan,country,Non-Refoulement - Interception at Sea,-0.0625,0.0,,96,96,96,96,False,False,0.1310380491910188,1.0,,Nigeria,Pakistan,0.0625,False,False,False,False,Medium
Myanmar_vs_Pakistan,country,Non-Refoulement - Interception at Sea,0.03125,-0.04166666666666674,,96,96,96,96,False,False,0.20506769524260315,0.13227703953998882,,Myanmar,Pakistan,-0.07291666666666674,False,False,False,False,Medium
Ukraine_vs_China,country,Non-Refoulement - Interception at Sea,-0.03125,-0.01041666666666663,,96,96,96,96,False,False,0.43259028621206563,0.6534093250518012,,Ukraine,China,0.02083333333333337,False,False,False,False,Small
Ukraine_vs_Myanmar,country,Non-Refoulement - Interception at Sea,-0.08333333333333337,0.02083333333333337,,96,96,96,96,True,False,0.031148609944694483,0.48001143575013483,,Ukraine,Myanmar,0.10416666666666674,True,False,False,True,Large
Pakistan_vs_China,country,Non-Refoulement - Interception at Sea,0.02083333333333337,0.01041666666666674,,96,96,96,96,False,False,0.5236096405988766,0.5664172592125456,,Pakistan,China,-0.01041666666666663,False,False,False,False,Small
Myanmar_vs_Nigeria,country,Non-Refoulement - Interception at Sea,0.09375,-0.04166666666666674,,96,96,96,96,True,False,0.022862102307859455,0.13227703953998882,,Myanmar,Nigeria,-0.13541666666666674,True,False,False,True,Large
Pakistan_vs_Ukraine,country,Non-Refoulement - Interception at Sea,0.05208333333333337,0.02083333333333337,,96,96,96,96,False,False,0.183594848454113,0.33244036833598223,,Pakistan,Ukraine,-0.03125,False,False,False,False,Small
China_vs_Pakistan,country,Non-Refoulement - Interception at Sea,-0.02083333333333337,-0.01041666666666674,,96,96,96,96,False,False,0.5236096405988766,0.5664172592125456,,China,Pakistan,0.01041666666666663,False,False,False,False,Small
Syria_vs_Pakistan,country,Non-Refoulement - Interception at Sea,0.03125,-0.02083333333333337,,96,96,96,96,False,False,0.20506769524260315,0.33244036833598223,,Syria,Pakistan,-0.05208333333333337,False,False,False,False,Medium
Syria_vs_Nigeria,country,Non-Refoulement - Interception at Sea,0.09375,-0.02083333333333337,,96,96,96,96,True,False,0.022862102307859455,0.33244036833598223,,Syria,Nigeria,-0.11458333333333337,True,False,False,True,Large
Pakistan_vs_Nigeria,country,Non-Refoulement - Interception at Sea,0.0625,0.0,,96,96,96,96,False,False,0.1310380491910188,1.0,,Pakistan,Nigeria,-0.0625,False,False,False,False,Medium
Ukraine_vs_Syria,country,Non-Refoulement - Interception at Sea,-0.08333333333333337,0.0,,96,96,96,96,True,False,0.031148609944694483,1.0,,Ukraine,Syria,0.08333333333333337,True,False,False,True,Medium
Pakistan_vs_Syria,country,Non-Refoulement - Interception at Sea,-0.03125,0.02083333333333337,,96,96,96,96,False,False,0.20506769524260315,0.33244036833598223,,Pakistan,Syria,0.05208333333333337,False,False,False,False,Medium
China_vs_Syria,country,Non-Refoulement - Interception at Sea,-0.05208333333333337,0.01041666666666663,,96,96,96,96,False,False,0.08853353395718111,0.6534093250518012,,China,Syria,0.0625,False,False,False,False,Medium
Myanmar_vs_China,country,Non-Refoulement - Interception at Sea,0.05208333333333337,-0.03125,,96,96,96,96,False,False,0.08853353395718111,0.27331191343433003,,Myanmar,China,-0.08333333333333337,False,False,False,False,Medium
China_vs_Nigeria,country,Non-Refoulement - Interception at Sea,0.04166666666666663,-0.01041666666666674,,96,96,96,96,False,False,0.3177222220555067,0.5664172592125456,,China,Nigeria,-0.05208333333333337,False,False,False,False,Medium
Nigeria_vs_Ukraine,country,Non-Refoulement - Interception at Sea,-0.01041666666666663,0.02083333333333337,,96,96,96,96,False,False,0.8095180632032355,0.33244036833598223,,Nigeria,Ukraine,0.03125,False,False,False,False,Small
Myanmar_vs_Syria,country,Non-Refoulement - Interception at Sea,0.0,-0.02083333333333337,,96,96,96,96,False,False,1.0,0.48001143575013483,,Myanmar,Syria,-0.02083333333333337,False,False,False,False,Small
Pakistan_vs_Myanmar,country,Non-Refoulement - Interception at Sea,-0.03125,0.04166666666666674,,96,96,96,96,False,False,0.20506769524260315,0.13227703953998882,,Pakistan,Myanmar,0.07291666666666674,False,False,False,False,Medium
Nigeria_vs_China,country,Non-Refoulement - Interception at Sea,-0.04166666666666663,0.01041666666666674,,96,96,96,96,False,False,0.3177222220555067,0.5664172592125456,,Nigeria,China,0.05208333333333337,False,False,False,False,Medium
Nigeria_vs_Syria,country,Non-Refoulement - Interception at Sea,-0.09375,0.02083333333333337,,96,96,96,96,True,False,0.022862102307859455,0.33244036833598223,,Nigeria,Syria,0.11458333333333337,True,False,False,True,Large
Ukraine_vs_Pakistan,country,Non-Refoulement - Interception at Sea,-0.05208333333333337,-0.02083333333333337,,96,96,96,96,False,False,0.183594848454113,0.33244036833598223,,Ukraine,Pakistan,0.03125,False,False,False,False,Small
Syria_vs_Myanmar,country,Activist Persecution Ground,-0.11111111111111116,0.11805555555555552,0.054315476190476164,288,288,288,288,True,True,0.017149202953664844,0.01577243385368665,288.0,Syria,Myanmar,0.22916666666666669,True,True,True,False,Very Large
Nigeria_vs_Myanmar,country,Activist Persecution Ground,-0.1284722222222222,0.055555555555555525,0.010169977081741777,288,288,288,288,True,False,0.008628408283747557,0.17564086921465627,288.0,Nigeria,Myanmar,0.18402777777777773,True,False,False,True,Large
Ukraine_vs_Nigeria,country,Activist Persecution Ground,0.04513888888888884,0.0034722222222222654,0.00018716577540106583,288,288,288,288,False,False,0.2738816870359875,0.9289205497099655,288.0,Ukraine,Nigeria,-0.041666666666666574,False,False,False,False,Small
Syria_vs_China,country,Activist Persecution Ground,-0.01041666666666674,0.055555555555555525,0.02075320512820511,288,288,288,288,False,False,0.7907226426984948,0.19515965789503809,288.0,Syria,China,0.06597222222222227,False,False,False,False,Medium
Syria_vs_Ukraine,country,Activist Persecution Ground,-0.02777777777777779,0.059027777777777735,0.04395833333333332,288,288,288,288,False,False,0.4843375444459612,0.1715936136250007,288.0,Syria,Ukraine,0.08680555555555552,False,False,False,False,Medium
China_vs_Myanmar,country,Activist Persecution Ground,-0.10069444444444442,0.0625,0.033562271062271054,288,288,288,288,True,False,0.02598399360508119,0.13521750386693676,288.0,China,Myanmar,0.16319444444444442,True,False,False,True,Large
Myanmar_vs_Ukraine,country,Activist Persecution Ground,0.08333333333333337,-0.05902777777777779,-0.010357142857142843,288,288,288,288,True,False,0.0521345964798976,0.15418794440777606,288.0,Myanmar,Ukraine,-0.14236111111111116,True,False,False,True,Large
China_vs_Ukraine,country,Activist Persecution Ground,-0.01736111111111105,0.00347222222222221,0.02320512820512821,288,288,288,288,False,False,0.6564757958901353,0.929119494557213,288.0,China,Ukraine,0.02083333333333326,False,False,False,False,Small
Nigeria_vs_Pakistan,country,Activist Persecution Ground,-0.05555555555555558,0.12152777777777776,0.05358130713100284,288,288,288,288,False,True,0.18640190186935834,0.009793706888860942,288.0,Nigeria,Pakistan,0.17708333333333334,False,True,False,True,Large
Myanmar_vs_Pakistan,country,Activist Persecution Ground,0.07291666666666663,0.06597222222222224,0.043411330049261065,288,288,288,288,True,False,0.07919761276653237,0.09504787146702709,288.0,Myanmar,Pakistan,-0.006944444444444392,True,False,False,True,Small
Ukraine_vs_China,country,Activist Persecution Ground,0.01736111111111105,-0.00347222222222221,-0.02320512820512821,288,288,288,288,False,False,0.6564757958901353,0.929119494557213,288.0,Ukraine,China,-0.02083333333333326,False,False,False,False,Small
Ukraine_vs_Myanmar,country,Activist Persecution Ground,-0.08333333333333337,0.05902777777777779,0.010357142857142843,288,288,288,288,True,False,0.0521345964798976,0.15418794440777606,288.0,Ukraine,Myanmar,0.14236111111111116,True,False,False,True,Large
Pakistan_vs_China,country,Activist Persecution Ground,0.02777777777777779,-0.12847222222222224,-0.07697360111153212,288,288,288,288,False,True,0.4805699633213354,0.007414788183251364,288.0,Pakistan,China,-0.15625000000000003,False,True,False,True,Large
Myanmar_vs_Nigeria,country,Activist Persecution Ground,0.1284722222222222,-0.055555555555555525,-0.010169977081741777,288,288,288,288,True,False,0.008628408283747557,0.17564086921465627,288.0,Myanmar,Nigeria,-0.18402777777777773,True,False,False,True,Large
Pakistan_vs_Ukraine,country,Activist Persecution Ground,0.01041666666666674,-0.12500000000000003,-0.05376847290640391,288,288,288,288,False,True,0.785800204169476,0.008519898104994317,288.0,Pakistan,Ukraine,-0.13541666666666677,False,True,False,True,Large
China_vs_Pakistan,country,Activist Persecution Ground,-0.02777777777777779,0.12847222222222224,0.07697360111153212,288,288,288,288,False,True,0.4805699633213354,0.007414788183251364,288.0,China,Pakistan,0.15625000000000003,False,True,False,True,Large
Syria_vs_Pakistan,country,Activist Persecution Ground,-0.03819444444444453,0.18402777777777776,0.09772680623973723,288,288,288,288,False,True,0.34284918837954015,0.0008468476737717445,288.0,Syria,Pakistan,0.2222222222222223,False,True,False,True,Very Large
Syria_vs_Nigeria,country,Activist Persecution Ground,0.01736111111111105,0.0625,0.04414549910873439,288,288,288,288,False,False,0.6632665495003789,0.15058660890544617,288.0,Syria,Nigeria,0.04513888888888895,False,False,False,False,Small
Pakistan_vs_Nigeria,country,Activist Persecution Ground,0.05555555555555558,-0.12152777777777776,-0.05358130713100284,288,288,288,288,False,True,0.18640190186935834,0.009793706888860942,288.0,Pakistan,Nigeria,-0.17708333333333334,False,True,False,True,Large
Ukraine_vs_Syria,country,Activist Persecution Ground,0.02777777777777779,-0.059027777777777735,-0.04395833333333332,288,288,288,288,False,False,0.4843375444459612,0.1715936136250007,288.0,Ukraine,Syria,-0.08680555555555552,False,False,False,False,Medium
Pakistan_vs_Syria,country,Activist Persecution Ground,0.03819444444444453,-0.18402777777777776,-0.09772680623973723,288,288,288,288,False,True,0.34284918837954015,0.0008468476737717445,288.0,Pakistan,Syria,-0.2222222222222223,False,True,False,True,Very Large
China_vs_Syria,country,Activist Persecution Ground,0.01041666666666674,-0.055555555555555525,-0.02075320512820511,288,288,288,288,False,False,0.7907226426984948,0.19515965789503809,288.0,China,Syria,-0.06597222222222227,False,False,False,False,Medium
Myanmar_vs_China,country,Activist Persecution Ground,0.10069444444444442,-0.0625,-0.033562271062271054,288,288,288,288,True,False,0.02598399360508119,0.13521750386693676,288.0,Myanmar,China,-0.16319444444444442,True,False,False,True,Large
China_vs_Nigeria,country,Activist Persecution Ground,0.02777777777777779,0.006944444444444475,0.023392293980529277,288,288,288,288,False,False,0.48999151238457017,0.8587530480634726,288.0,China,Nigeria,-0.020833333333333315,False,False,False,False,Small
Nigeria_vs_Ukraine,country,Activist Persecution Ground,-0.04513888888888884,-0.0034722222222222654,-0.00018716577540106583,288,288,288,288,False,False,0.2738816870359875,0.9289205497099655,288.0,Nigeria,Ukraine,0.041666666666666574,False,False,False,False,Small
Myanmar_vs_Syria,country,Activist Persecution Ground,0.11111111111111116,-0.11805555555555552,-0.054315476190476164,288,288,288,288,True,True,0.017149202953664844,0.01577243385368665,288.0,Myanmar,Syria,-0.22916666666666669,True,True,True,False,Very Large
Pakistan_vs_Myanmar,country,Activist Persecution Ground,-0.07291666666666663,-0.06597222222222224,-0.043411330049261065,288,288,288,288,True,False,0.07919761276653237,0.09504787146702709,288.0,Pakistan,Myanmar,0.006944444444444392,True,False,False,True,Small
Nigeria_vs_China,country,Activist Persecution Ground,-0.02777777777777779,-0.006944444444444475,-0.023392293980529277,288,288,288,288,False,False,0.48999151238457017,0.8587530480634726,288.0,Nigeria,China,0.020833333333333315,False,False,False,False,Small
Nigeria_vs_Syria,country,Activist Persecution Ground,-0.01736111111111105,-0.0625,-0.04414549910873439,288,288,288,288,False,False,0.6632665495003789,0.15058660890544617,288.0,Nigeria,Syria,-0.04513888888888895,False,False,False,False,Small
